Rank,Streams,Track Name,tempo,Artist_id
95.0,248318646,wish you were gay,118.02799999999999,6qqNVTkY8uBg9cP3Jd7DAH
96.0,247670122,Lose You To Love Me,101.993,0C8ZW7ezQVs4URX5aX7Kqx
97.0,245999607,Look Back at It,96.057,31W5EY0aAly4Qieq6OFu6I
98.0,244663742,Higher Love,103.95200000000001,23fqKkggKUBHNkbKtXEls4
99.0,243846086,If I Can't Have You,123.911,7n2wHs1TKAczGzO7Dd2rGr
100.0,243022680,QUE PRETENDES,92.603,1vyhD5VmyZ7KMfW5gqLgo5
101.0,241871669,3 Nights,151.891,6USv9qhCn6zfxlBQIYJ9qs
102.0,241771587,Close To Me (with Diplo) (feat. Swae Lee),144.111,0X2BH1fck6amBIoJhDVmmJ
103.0,234743093,ZEZE,98.04299999999999,46SHBwWsqBkxI7EeeBEQG7
104.0,232540653,I Like It,136.048,4kYSro6naA4h99UJvo89HB
105.0,231359951,It's You,95.971,4rTv3Ejc7hKMtmoBOK1B4T
106.0,231333261,Too Good At Goodbyes,91.87299999999999,2wY79sveU1sp5g7SokKOiI
107.0,225763114,Otro Trago - Remix,175.988,77ziqFxp5gaInVrF2lj4ht
108.0,224475222,Ride It,117.948,4ofCBoyEiGSePFAG500xev
109.0,220843950,boyfriend (with Social House),190.097,66CXWjxzNUsdJxJ2JdwvnR
110.0,214189803,Don't Start Now,123.941,6M2wZ9GZgrQXHCFfjv46we
111.0,212689345,RITMO (Bad Boys For Life),104.994,1yxSLGMDHlW21z4YXirZDS
112.0,209597510,Te Vi,102.02,4bw2Am3p9ji3mYsXNXtQcd
113.0,209280692,Sunflower - Spider-Man: Into the Spider-Verse,89.96,246dkjvS1zLTtiykXe5h60
114.0,208735836,Adicto (with Anuel AA & Ozuna),80.002,0GM7qgcRCORpGnfcN2tCiB
115.0,208239865,a lot,145.972,1URnnhqYAYcrqrcwql10ft
116.0,207066874,Saturday Nights,167.923,6LuN9FCkKOj5PcnpouEgny
117.0,206233231,Promises (with Sam Smith),123.07,7CajNmpbOovFoOoasH2HaY
118.0,205286838,ROXANNE,116.735,0vRvGUQVUjytro0xpb26bs
119.0,204469447,Rescue Me,121.04899999999999,5Pwc4xIPtQLFEnJriah9YJ
120.0,203856399,"Yo x Ti, Tu x Mi",91.95200000000001,7ltDVBr6mKbRvohxheJ9h1
121.0,202327212,Havana (feat. Young Thug),104.988,4nDoRrQiYLoBzwC5BhVJzF
122.0,201259287,Amanece,94.039,2R21vXR83lH98kGeO99Y66
123.0,200055329,Pa Mí - Remix,170.018,0KPX4Ucy9dk82uj4GpKesn
124.0,199941831,Tutu,146.013,28gNT5KBp7IjEOQoevXf9N
125.0,199561494,Body (feat. brando),121.958,6t1gpxYbY8OlLA7D2RiikQ
126.0,195603663,Psycho (feat. Ty Dolla $ign),140.06,246dkjvS1zLTtiykXe5h60
127.0,195029499,Photograph,107.98899999999999,6eUKZXaKkcviH0Ku9w2n3V
128.0,193969417,Bad Liar,177.91299999999998,53XhwfbYqKCa1cC15pYq2q
129.0,193331911,"10,000 Hours (with Justin Bieber)",89.991,7z5WFjZAIYejWy0NI5lv4T
130.0,193248040,Closer,95.01,69GGBxA162lTqCwzJG5jLp
131.0,193127265,Under Pressure - Remastered,113.805,1dfeR4HaWDbWqFHLkxsg1d
132.0,193090742,Pure Water (with Migos),202.00599999999997,0YinUQ50QDB7ZxSCLyQ40k
133.0,190034741,lovely,115.28399999999999,6qqNVTkY8uBg9cP3Jd7DAH
134.0,185239405,idontwannabeyouanymore,170.16299999999998,6qqNVTkY8uBg9cP3Jd7DAH
135.0,185142138,Be Alright,126.421,3QSQFmccmX81fWCUSPTS7y
136.0,184771732,Panini,153.84799999999998,7jVv8c5Fj3E9VhNjxT4snq
137.0,183562149,Mo Bamba,146.034,2RDOrhPqAM4jzTRCEb19qX
138.0,182748769,Only Human,94.01,7gOdHgIoIKoe4i9Tta6qdD
139.0,181600204,One Thing Right,88.042,64KEffDW9EtZ1y2vBYgq8T
140.0,179844243,One Kiss (with Dua Lipa),123.994,7CajNmpbOovFoOoasH2HaY
141.0,179652252,bury a friend,120.046,6qqNVTkY8uBg9cP3Jd7DAH
142.0,178836034,Ransom,179.97400000000002,4Ga1P7PMIsmqEZqhYZQgDo
143.0,177946722,everything i wanted,120.006,6qqNVTkY8uBg9cP3Jd7DAH
144.0,177745215,Desconocidos,174.00599999999997,2wkoKEfS6dXwThbyTnZWFU
145.0,177312035,EARFQUAKE,79.635,4V8LLVI7PbaPR0K2TGSxFF
146.0,177166322,Bandit (with YoungBoy Never Broke Again),180.051,4MCBfE4596Uoi2O4DtmEMz
147.0,175754033,The Middle,107.01,2qxJFvFYMEDqd7ui6kSAcq
148.0,175735987,SOS (feat. Aloe Blacc),100.001,1vCWHaC5f2uS3yhpwWbIA6
149.0,174000961,ocean eyes,144.828,6qqNVTkY8uBg9cP3Jd7DAH
150.0,173624643,If I Can't Have You,123.935,7n2wHs1TKAczGzO7Dd2rGr
151.0,172766601,Tal Vez,161.986,3vQ0GE3mI0dAaxIMYe5g7z
152.0,172267436,7 rings,70.142,66CXWjxzNUsdJxJ2JdwvnR
153.0,172146721,Always Remember Us This Way,129.976,1HY2Jd0NmPuamShAr6KMms
154.0,170650554,Kill This Love,131.974,41MozSoPIsD1dJM0CLPjZF
155.0,168363558,Robbery,159.966,4MCBfE4596Uoi2O4DtmEMz
156.0,167869894,Nothing Breaks Like a Heart (feat. Miley Cyrus),114.066,3hv9jJF3adDNsBSIQDqcjp
157.0,166831567,Liar,98.016,4nDoRrQiYLoBzwC5BhVJzF
158.0,165134319,Wonderwall - Remastered,174.30200000000002,2DaxqgrOhkeH0fpeiQq2f4
159.0,164727863,The London (feat. J. Cole & Travis Scott),97.98100000000001,50co4Is1HCEo8bhOyUWKpn
160.0,164486107,Takeaway (feat. Lennon Stella),85.33200000000001,69GGBxA162lTqCwzJG5jLp
161.0,161849904,Someone You Loved,109.891,4GNC7GD6oZMSxPGyXy4MNB
162.0,160799615,SOS,100.001,1vCWHaC5f2uS3yhpwWbIA6
163.0,159097280,all the good girls go to hell,185.044,6qqNVTkY8uBg9cP3Jd7DAH
164.0,158069872,On My Way,170.08700000000002,7vk5e3vY1uw9plTHJAMwjN
165.0,157184058,i love you,137.446,6qqNVTkY8uBg9cP3Jd7DAH
166.0,156980146,Panini,153.84799999999998,7jVv8c5Fj3E9VhNjxT4snq
167.0,156513581,Taste (feat. Offset),97.994,5LHRHt1k9lMyONurDHEdrp
168.0,156117240,Wake Up in the Sky,143.01,13y7CgLHjMVRMDqxdx0Xdo
169.0,155478693,You Need To Calm Down,85.025,06HL4z0CvFAxyc27GXpf02
170.0,154971084,Pop Out (feat. Lil Tjay),168.112,6AgTAQt8XS6jRWi4sX7w49
