Rank,Track_id,Streams,Track Name,Artist_id
73.0,6v0lAdFF4haL8xjBIUjtOw,286923182,Te Robaré,1SupJlEpv7RS2tPNRaHViT
74.0,22vgEDb5hykfaTwLuskFGD,283806127,Sucker,7gOdHgIoIKoe4i9Tta6qdD
75.0,7KbF6AdprOXEEHlsq11Z6d,282065182,11 PM,1r4hJ1h58CWwUQe3MxPuau
76.0,5uCax9HTNlzGybIStD3vDh,281985613,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM
77.0,6XHVuErjQ4XNm6nDPVCxVX,281633683,No Guidance (feat. Drake),7bXgB6jMjp9ATFy66eO08Z
78.0,7aiClxsDWFRQ0Kzk5KI5ku,280915497,hot girl bummer,2cFrymmkijnjDg9SS92EPM
79.0,5itOtNx0WxtJmi1TQ3RuRd,278801574,Giant (with Rag'n'Bone Man),7CajNmpbOovFoOoasH2HaY
80.0,5vdp5UmvTsnMEMESIF2Ym7,276114065,Another One Bites The Dust - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d
81.0,5icOoE6VgqFKohjWWNp0Ac,272374472,Here With Me,64KEffDW9EtZ1y2vBYgq8T
82.0,0u2P5u6lvoDfwTYjAADbn4,270623566,lovely (with Khalid),6qqNVTkY8uBg9cP3Jd7DAH
83.0,78QR3Wp35dqAhFEc2qAGjE,268726609,Drip Too Hard (Lil Baby & Gunna),5f7VJjfbwm532GiveGC0ZK
84.0,2gwkD6igEhQbDQegRCcdoB,268148985,Suge,4r63FhuTkUYltbVAg5TQnk
85.0,0E9ZjEAyAwOXZ7wJC0PD33,267397652,In My Mind,3v6Ji4uoWtKRkhuDUaxi9n
86.0,4lzxJ4jCuFDXXGkE1LmpKR,266393254,Verte Ir,64aJYyrXljOodnUG6jvhRD
87.0,5KawlOMHjWeUjQtnuRs22c,261504425,Boy With Luv (feat. Halsey),3Nrfpe0tUJi4K4DXYWgMUX
88.0,7m9OqQk4RVRkw9JJdeAw96,260460676,Jocelyn Flores,15UsOTVnJzReFVN1VCnxy4
89.0,1zB4vmk8tFRmM9UULNzbLB,258870697,Thunder,53XhwfbYqKCa1cC15pYq2q
90.0,7eBqSVxrzQZtK2mmgRG6lC,256405301,Murder On My Mind,1cNDP5yjU5vjeR8qMf4grg
91.0,5PYQUBXc7NYeI1obMKSJK0,253198861,Never Really Over,6jJ0s89eD6GaHleKKya26X
92.0,4vUmTMuQqjdnvlZmAH61Qk,250126582,South of the Border (feat. Camila Cabello & Cardi B),6eUKZXaKkcviH0Ku9w2n3V
93.0,6DCZcSspjsKoFjzjrWoCdn,249679896,God's Plan,3TVXtAsR1Inumwj472S9r4
94.0,6FyRXC8tJUh863JCkyWqtk,248946391,Adan y Eva,3vQ0GE3mI0dAaxIMYe5g7z
95.0,3Fj47GNK2kUF0uaEDgXLaD,248318646,wish you were gay,6qqNVTkY8uBg9cP3Jd7DAH
96.0,1HfMVBKM75vxSfsQ5VefZ5,247670122,Lose You To Love Me,0C8ZW7ezQVs4URX5aX7Kqx
97.0,3Ol2xnObFdKV9pmRD2t9x8,245999607,Look Back at It,31W5EY0aAly4Qieq6OFu6I
98.0,6oJ6le65B3SEqPwMRNXWjY,244663742,Higher Love,23fqKkggKUBHNkbKtXEls4
99.0,6LsAAHotRLMOHfCsSfYCsz,243846086,If I Can't Have You,7n2wHs1TKAczGzO7Dd2rGr
100.0,25ZAibhr3bdlMCLmubZDVt,243022680,QUE PRETENDES,1vyhD5VmyZ7KMfW5gqLgo5
101.0,1tNJrcVe6gwLEiZCtprs1u,241871669,3 Nights,6USv9qhCn6zfxlBQIYJ9qs
102.0,5JEx7HbmvHQQswJCsoo9rA,241771587,Close To Me (with Diplo) (feat. Swae Lee),0X2BH1fck6amBIoJhDVmmJ
103.0,0FZ4Dmg8jJJAPJnvBIzD9z,234743093,ZEZE,46SHBwWsqBkxI7EeeBEQG7
104.0,58q2HKrzhC3ozto2nDdN4z,232540653,I Like It,4kYSro6naA4h99UJvo89HB
105.0,6moU77g9RQyMzHNuKEaQKq,231359951,It's You,4rTv3Ejc7hKMtmoBOK1B4T
106.0,1mXVgsBdtIVeCLJnSnmtdV,231333261,Too Good At Goodbyes,2wY79sveU1sp5g7SokKOiI
107.0,4bTZeO72FwMa6wKOiqoynL,225763114,Otro Trago - Remix,77ziqFxp5gaInVrF2lj4ht
108.0,2tnVG71enUj33Ic2nFN6kZ,224475222,Ride It,4ofCBoyEiGSePFAG500xev
109.0,0Ryd8975WihbObpp5cPW1t,220843950,boyfriend (with Social House),66CXWjxzNUsdJxJ2JdwvnR
110.0,6WrI0LAC5M1Rw2MnX2ZvEg,214189803,Don't Start Now,6M2wZ9GZgrQXHCFfjv46we
111.0,6cy3ki60hLwimwIje7tALf,212689345,RITMO (Bad Boys For Life),1yxSLGMDHlW21z4YXirZDS
112.0,059bcIhyc2SBwm6sw2AZzd,209597510,Te Vi,4bw2Am3p9ji3mYsXNXtQcd
113.0,0RiRZpuVRbi7oqRdSMwhQY,209280692,Sunflower - Spider-Man: Into the Spider-Verse,246dkjvS1zLTtiykXe5h60
114.0,3jbT1Y5MoPwEIpZndDDwVq,208735836,Adicto (with Anuel AA & Ozuna),0GM7qgcRCORpGnfcN2tCiB
115.0,2t8yVaLvJ0RenpXUIAC52d,208239865,a lot,1URnnhqYAYcrqrcwql10ft
116.0,5kfNriitmkNE8mUbZ7gbq8,207066874,Saturday Nights,6LuN9FCkKOj5PcnpouEgny
117.0,5N5k9nd479b1xpDZ4usjrg,206233231,Promises (with Sam Smith),7CajNmpbOovFoOoasH2HaY
118.0,696DnlkuDOXcMAnKlTgXXK,205286838,ROXANNE,0vRvGUQVUjytro0xpb26bs
119.0,0mjAU3yKR1QnXnHtjGJqTM,204469447,Rescue Me,5Pwc4xIPtQLFEnJriah9YJ
120.0,7BlBVFwvbWvcwNcUarQmjk,203856399,"Yo x Ti, Tu x Mi",7ltDVBr6mKbRvohxheJ9h1
121.0,1rfofaqEpACxVEHIZBJe6W,202327212,Havana (feat. Young Thug),4nDoRrQiYLoBzwC5BhVJzF
122.0,1LiN0Z98FkR1t0m8KmLcAH,201259287,Amanece,2R21vXR83lH98kGeO99Y66
123.0,7g8YaUQABMal0zWe7a2ijz,200055329,Pa Mí - Remix,0KPX4Ucy9dk82uj4GpKesn
124.0,1nocRtwyNPVtGcIJqfgdzZ,199941831,Tutu,28gNT5KBp7IjEOQoevXf9N
